seqnames,start,end,Log2FC,FDR,MeanDiff,group_name
chr3,142165297,142165797,1.91402707,0.009959012,0.06027188,C3
chr18,77731487,77731987,1.080350781,0.009969822,0.063162194,C3
chr21,43833610,43834110,1.329936422,0.009969822,0.063004341,C3
chr12,14538977,14539477,2.003514927,0.009976621,0.049727461,C3
chr1,183448257,183448757,2.831560875,0.009982016,0.01742573,C3
chr15,75083533,75084033,3.22524068,0.009982016,0.022901267,C3
chr2,38797472,38797972,4.029918247,0.009982016,0.039338792,C3
chr2,39715527,39716027,4.071262066,0.009982016,0.052996711,C3
chr3,28334056,28334556,3.409679283,0.009982016,0.02411495,C3
chr5,93959098,93959598,3.822583166,0.009982016,0.037811621,C3
chr7,141293422,141293922,3.786336727,0.009982016,0.030036676,C3
chr8,100511828,100512328,3.321023365,0.009982016,0.023760827,C3
chr9,35569615,35570115,3.737506241,0.009982016,0.028958935,C3
chr12,55374060,55374560,1.957619461,0.009987913,0.087016031,C3
chr22,35806143,35806643,3.696596736,3.25E-19,1.286342053,C4
chr6,11786257,11786757,3.1055322,5.81E-19,0.968343065,C4
chr16,8757486,8757986,3.986819589,2.58E-18,0.900374525,C4
chr16,8985293,8985793,2.48281093,6.57E-18,1.275385825,C4
chr12,102329864,102330364,4.468629502,4.51E-17,0.854308471,C4
chr16,88013435,88013935,2.944101646,6.95E-17,1.198227085,C4
chr19,5086228,5086728,2.96227148,6.95E-17,0.980743284,C4
chr11,12237550,12238050,3.497824027,1.12E-16,0.932396988,C4
chr4,156679858,156680358,6.726001755,1.69E-16,0.885830915,C4
chr6,12061014,12061514,2.927641464,6.35E-16,1.181478899,C4
chr16,50369018,50369518,3.390405249,1.74E-15,0.81045669,C4
chr6,11785579,11786079,2.793175104,1.78E-15,0.668882965,C4
chr10,80338555,80339055,3.229326233,7.28E-14,0.878502562,C4
chr22,41703419,41703919,6.733138188,3.96E-13,0.75409349,C4
chr22,45350922,45351422,4.137835943,9.93E-13,0.723776646,C4
chr8,101421793,101422293,2.356940325,1.33E-12,0.968117682,C4
chr12,102137442,102137942,3.094320501,3.27E-12,0.921568486,C4
chr8,29329656,29330156,2.516053537,4.26E-12,0.841811174,C4
chr5,93725107,93725607,4.512244453,1.12E-11,0.600785642,C4
chr13,39590211,39590711,3.91274366,1.75E-11,0.853530771,C4
chr11,120706380,120706880,3.808927989,2.14E-11,0.611143635,C4
chr9,71589265,71589765,3.246041677,3.86E-11,0.725639009,C4
chr2,128507086,128507586,3.686644086,6.02E-11,0.656781328,C4
chr4,6857286,6857786,1.858310415,6.18E-11,1.034016815,C4
chr16,8756969,8757469,3.94319852,1.14E-10,0.355448898,C4
chr11,109968286,109968786,4.488490507,1.33E-10,0.484700007,C4
chr8,24224749,24225249,3.658283405,1.42E-10,0.667865116,C4
chr15,38868917,38869417,1.802056209,2.74E-10,0.933817013,C4
chr8,29848144,29848644,1.543086513,3.23E-10,1.076787418,C4
chr6,15776653,15777153,4.791452497,3.36E-10,0.639413866,C4
chr11,117922374,117922874,2.163611577,3.95E-10,1.225638865,C4
chr4,122698022,122698522,2.788008333,4.11E-10,0.709213138,C4
chr9,99637300,99637800,1.927243218,4.84E-10,0.849827906,C4
chr12,24992326,24992826,1.933470681,1.23E-09,0.853494624,C4
chr10,134384989,134385489,4.026536733,1.32E-09,0.673858492,C4
chr20,24934276,24934776,3.009760105,1.47E-09,0.625750698,C4
chr16,23347194,23347694,4.432526789,1.65E-09,0.560551581,C4
chr16,29697507,29698007,3.234872937,2.78E-09,0.553095418,C4
chr1,8556477,8556977,2.620540397,2.86E-09,0.853666215,C4
chr16,58888317,58888817,7.667537968,2.86E-09,0.409534584,C4
chr12,48148566,48149066,4.148343752,2.94E-09,0.580629854,C4
chr2,136813705,136814205,2.641927811,2.94E-09,0.434972532,C4
chr16,12633021,12633521,3.77253281,3.24E-09,0.411087571,C4
chr8,615489,615989,2.66125093,3.24E-09,0.566160747,C4
chr8,101422303,101422803,2.124750121,3.26E-09,1.125378084,C4
chr4,106227372,106227872,1.883371267,3.53E-09,0.99208143,C4
chr1,230344376,230344876,1.901593702,3.72E-09,0.748974598,C4
chr6,11366729,11367229,1.85661786,3.72E-09,0.931614364,C4
chr8,29326610,29327110,2.140040756,4.02E-09,0.473493562,C4
chr15,85861461,85861961,2.103191236,4.27E-09,0.678872916,C4
chr2,191560489,191560989,1.83644564,4.27E-09,0.86724398,C4
chr2,214021971,214022471,3.004818004,4.27E-09,0.529024287,C4
chr1,201139751,201140251,1.670052121,4.31E-09,0.901061479,C4
chr14,81440164,81440664,4.232962675,4.31E-09,0.613082633,C4
chr3,16557371,16557871,2.774963805,4.45E-09,0.510797236,C4
chr19,39126033,39126533,5.062001259,4.84E-09,0.404828604,C4
chr18,72748939,72749439,3.51167751,5.00E-09,0.406147601,C4
chr9,129601125,129601625,3.394413728,5.23E-09,0.413426191,C4
chr3,194854156,194854656,2.695690822,6.13E-09,0.544567754,C4
chr1,55630555,55631055,3.915531824,6.80E-09,0.489367995,C4
chr2,232290715,232291215,1.882407296,7.08E-09,0.922981112,C4
chr10,112373610,112374110,2.924351494,7.61E-09,0.480860342,C4
chr7,151442276,151442776,1.836111907,7.84E-09,0.597406653,C4
chr2,179902381,179902881,5.889386013,8.09E-09,0.47812616,C4
chr8,101476176,101476676,3.366330278,9.03E-09,0.490347283,C4
chr8,614828,615328,2.246296611,9.25E-09,0.693835794,C4
chr8,29324046,29324546,3.275995259,9.37E-09,0.521101039,C4
chr1,44047832,44048332,2.682255582,1.09E-08,0.788049839,C4
chr12,104821269,104821769,2.59560578,1.22E-08,0.711461146,C4
chr7,2798749,2799249,3.083465192,1.42E-08,0.45816161,C4
chr7,41921288,41921788,1.781801731,1.42E-08,0.811975092,C4
chr12,131590417,131590917,3.140801517,1.42E-08,0.808078049,C4
chr16,87989133,87989633,3.119111931,1.48E-08,0.475685787,C4
chr3,58200435,58200935,2.963392851,1.55E-08,0.52425752,C4
chr7,134325818,134326318,2.083414217,1.61E-08,0.614943604,C4
chr19,19150621,19151121,2.665888108,1.68E-08,0.7541593,C4
chr21,26671118,26671618,2.595376055,1.68E-08,0.636623137,C4
chr5,55273752,55274252,2.355443545,2.03E-08,0.565670723,C4
chr1,201140403,201140903,1.501511412,2.38E-08,0.615899418,C4
chr17,55638402,55638902,3.043321378,2.46E-08,0.551033903,C4
chr18,33157101,33157601,2.196805165,2.49E-08,0.674051321,C4
chr12,112934319,112934819,4.999601464,2.69E-08,0.538767541,C4
chr10,99923595,99924095,4.498867984,2.73E-08,0.375049835,C4
chr2,10885577,10886077,3.139970916,2.98E-08,0.389932955,C4
chr19,39126662,39127162,5.541924529,3.24E-08,0.246877875,C4
chr11,70200171,70200671,5.355914091,3.37E-08,0.478192685,C4
chr1,101211679,101212179,3.106160322,3.53E-08,0.43681441,C4
chr16,23493971,23494471,1.684074232,3.69E-08,1.110890845,C4
chr12,118313411,118313911,4.480566051,5.97E-08,0.375291044,C4
chr19,13010658,13011158,3.392843119,6.47E-08,0.455070095,C4
chr2,204736226,204736726,2.250869084,7.82E-08,0.602634238,C4
chr11,12236866,12237366,3.315241949,8.10E-08,0.450849591,C4
chr1,7022489,7022989,4.543068978,8.80E-08,0.379047012,C4
chr5,180335950,180336450,3.049604463,9.75E-08,0.369310782,C4
chr2,145188205,145188705,2.666560608,9.94E-08,0.534296217,C4
chr7,37855543,37856043,7.617646395,1.03E-07,0.395545257,C4
chr22,50261319,50261819,1.616303309,1.08E-07,0.688846732,C4
chr10,7525724,7526224,2.058580399,1.10E-07,0.548159174,C4
chr16,88522493,88522993,1.471545226,1.12E-07,0.761494284,C4
chr12,110382245,110382745,5.039539345,1.13E-07,0.401609045,C4
chr9,129601778,129602278,5.181943995,1.52E-07,0.311132905,C4
chr17,1023113,1023613,1.931554422,1.62E-07,0.578481986,C4
chr1,7023348,7023848,2.867247603,1.75E-07,0.345889339,C4
chr4,122706609,122707109,5.641905173,1.79E-07,0.478428364,C4
chr6,2861826,2862326,1.462280295,1.83E-07,0.494881987,C4
chr16,12629762,12630262,2.269981554,2.05E-07,0.388966552,C4
chr20,39762472,39762972,3.206759808,2.40E-07,0.438849313,C4
chr11,73025814,73026314,7.689085026,2.72E-07,0.415727464,C4
chr2,136809965,136810465,2.797984434,2.91E-07,0.382267657,C4
chr17,1023717,1024217,2.551290535,2.97E-07,0.577246851,C4
chr2,61935091,61935591,3.485460946,3.27E-07,0.539098678,C4
chr5,109422523,109423023,1.667609637,3.28E-07,0.59847293,C4
chr19,58838751,58839251,1.298774227,3.36E-07,0.709670477,C4
chr6,36087760,36088260,2.31784478,3.49E-07,0.50470357,C4
chr11,134452260,134452760,3.222015699,3.66E-07,0.597512515,C4
chr1,114326702,114327202,1.878210866,3.69E-07,0.574932875,C4
chr6,11849817,11850317,5.772640045,3.70E-07,0.384034628,C4
chr6,155502540,155503040,5.665922516,3.77E-07,0.433200157,C4
chr16,57624959,57625459,1.691378866,3.91E-07,0.575379453,C4
chr2,24962164,24962664,2.425258369,4.06E-07,0.419985596,C4
chr13,80973887,80974387,2.31369344,4.08E-07,0.340314714,C4
chr3,11332917,11333417,1.846783711,4.74E-07,0.614980812,C4
chr1,10558077,10558577,3.570744749,4.92E-07,0.393742896,C4
chr13,45872054,45872554,3.401787946,4.92E-07,0.421922828,C4
chr3,4947843,4948343,2.334400291,4.92E-07,0.465915416,C4
chr8,66749789,66750289,2.175329517,4.96E-07,0.395962753,C4
chr8,103120137,103120637,2.247802483,5.23E-07,0.507398209,C4
chr2,204735650,204736150,1.925326088,5.76E-07,0.371570927,C4
chr21,26768487,26768987,1.606227728,5.80E-07,0.612798081,C4
chr5,73330567,73331067,5.44207442,5.80E-07,0.291347969,C4
chr8,29847619,29848119,2.409007813,5.84E-07,0.447682138,C4
chr1,208056300,208056800,2.10932009,5.98E-07,0.54383536,C4
chr18,77444221,77444721,2.199239206,6.82E-07,0.705411429,C4
chr1,236043518,236044018,3.66258639,7.35E-07,0.439319983,C4
chr4,185504882,185505382,3.292139141,7.53E-07,0.339682817,C4
chr7,25157170,25157670,2.242677795,8.69E-07,0.70950698,C4
chr5,156457663,156458163,2.867833395,8.73E-07,0.5074564,C4
chr2,38814801,38815301,2.460562683,8.85E-07,0.5557239,C4
chr12,114400162,114400662,2.260743823,9.14E-07,0.32502377,C4
chr2,99491655,99492155,2.2544537,9.28E-07,0.478077035,C4
chr5,180300428,180300928,1.893753595,9.36E-07,0.372807109,C4
chr16,81343800,81344300,5.121975335,9.51E-07,0.343251415,C4
chr2,191535234,191535734,2.22400917,9.60E-07,0.593096737,C4
chr3,16558090,16558590,3.006095537,9.91E-07,0.448969566,C4
chr3,46997177,46997677,2.247574448,9.91E-07,0.474240807,C4
chr12,88693426,88693926,7.554619281,1.03E-06,0.378550537,C4
chr16,27428562,27429062,3.354875928,1.04E-06,0.310815164,C4
chr14,51203574,51204074,2.355985106,1.15E-06,0.481533834,C4
chr5,169098079,169098579,4.90884372,1.15E-06,0.326768186,C4
chr16,78812141,78812641,3.752076236,1.15E-06,0.491403142,C4
chr4,26886039,26886539,2.362035125,1.17E-06,0.601002624,C4
chr17,55518246,55518746,2.07047409,1.21E-06,0.509894447,C4
chr8,110537228,110537728,3.422704026,1.25E-06,0.571567462,C4
chr2,137139626,137140126,2.003802936,1.27E-06,0.795937812,C4
chr3,11320099,11320599,4.053678655,1.56E-06,0.240534413,C4
chr6,151134462,151134962,3.031470531,1.56E-06,0.283806102,C4
chr3,177448643,177449143,7.459730688,1.61E-06,0.354324875,C4
chr3,8543104,8543604,1.816788749,1.72E-06,0.764129009,C4
chr19,5086798,5087298,3.390869256,2.01E-06,0.363326235,C4
chr9,136286775,136287275,3.424470955,2.05E-06,0.428366847,C4
chr20,42365299,42365799,2.890901966,2.31E-06,0.444939411,C4
chr5,122795831,122796331,4.981426223,2.39E-06,0.288745549,C4
chr21,26836431,26836931,2.589695342,2.41E-06,0.406074076,C4
chr10,90967050,90967550,2.807257423,2.42E-06,0.459331215,C4
chr7,151105766,151106266,1.172747446,2.42E-06,0.784686807,C4
chr3,58101834,58102334,2.88486224,2.44E-06,0.493975468,C4
chr1,156192663,156193163,2.289944105,2.53E-06,0.61796009,C4
chr8,126163867,126164367,3.431044743,2.58E-06,0.346850508,C4
chr2,109177659,109178159,7.316062037,2.58E-06,0.320548085,C4
chr15,45174829,45175329,1.486618337,2.72E-06,0.446717688,C4
chr11,117840035,117840535,4.823811616,2.90E-06,0.295257068,C4
chr1,89512133,89512633,3.667383814,3.03E-06,0.353852874,C4
chr1,38486265,38486765,4.344052166,3.06E-06,0.342903976,C4
chr3,46411305,46411805,1.724938879,3.39E-06,0.690272734,C4
chr22,31932903,31933403,3.084821772,3.59E-06,0.358981587,C4
chr8,613804,614304,2.258852222,3.77E-06,0.455621223,C4
chrX,9965505,9966005,2.533275891,3.90E-06,0.414525934,C4
chr13,44875398,44875898,3.699661099,3.97E-06,0.343710267,C4
chr6,11208405,11208905,3.539327588,4.89E-06,0.407359623,C4
chr3,58020643,58021143,1.706192222,5.05E-06,0.442402699,C4
chr7,43798586,43799086,3.359279598,5.34E-06,0.303415344,C4
chr17,80215200,80215700,2.39884724,5.65E-06,0.576467513,C4
chr17,9981242,9981742,2.730442681,5.93E-06,0.494664777,C4
chr17,1510640,1511140,2.540309982,6.08E-06,0.395673671,C4
chr21,40351475,40351975,2.592293984,6.28E-06,0.43566601,C4
chr3,69046916,69047416,2.875442868,6.35E-06,0.522786355,C4
chr18,57620177,57620677,2.837934272,6.36E-06,0.342766597,C4
chr12,121972477,121972977,1.577260524,6.82E-06,0.450537529,C4
chr6,11730800,11731300,7.502277412,6.88E-06,0.364990517,C4
chr13,39722708,39723208,3.418325515,7.45E-06,0.308956471,C4
chr11,68823211,68823711,1.912603141,7.45E-06,0.484433053,C4
chrX,63569905,63570405,5.159098014,7.57E-06,0.24806999,C4
chr16,75654225,75654725,1.159523414,7.83E-06,0.79677101,C4
chr1,10555154,10555654,1.582773263,8.16E-06,0.579163117,C4
chr12,104820677,104821177,4.141687677,8.16E-06,0.262305896,C4
chr6,150738934,150739434,2.326228815,8.75E-06,0.54867259,C4
chr20,33827959,33828459,4.054354007,9.63E-06,0.350480316,C4
chr2,136810474,136810974,2.66199231,9.76E-06,0.229239787,C4
chr11,128498540,128499040,2.220849963,1.09E-05,0.50937849,C4
chr22,45346562,45347062,7.241767284,1.09E-05,0.304356988,C4
chr6,12045087,12045587,5.233811408,1.21E-05,0.347046374,C4
chr19,55849961,55850461,1.168684321,1.21E-05,0.883159031,C4
chr11,117327014,117327514,3.524048512,1.24E-05,0.434495996,C4
chr10,34411879,34412379,3.996484936,1.31E-05,0.323476346,C4
chr15,100042269,100042769,4.086805508,1.32E-05,0.410567321,C4
chr11,117853442,117853942,2.479806141,1.44E-05,0.453726451,C4
chr2,9603702,9604202,2.667760792,1.45E-05,0.333065368,C4
chr17,7035992,7036492,2.730693813,1.53E-05,0.29292182,C4
chr3,119281448,119281948,1.438863311,1.57E-05,0.422924499,C4
chr3,114528616,114529116,2.323847926,1.59E-05,0.533276913,C4
chr19,37019932,37020432,2.134835244,1.68E-05,0.314205386,C4
chr12,114399500,114400000,2.943986037,1.70E-05,0.216434092,C4
chr12,63088353,63088853,6.919374344,1.70E-05,0.24300177,C4
chr12,133657244,133657744,1.316599841,1.70E-05,0.651100854,C4
chr16,16184133,16184633,7.202571302,1.70E-05,0.2961451,C4
chr2,242810854,242811354,1.717085121,1.70E-05,0.337080299,C4
chr11,120779152,120779652,1.685753724,1.85E-05,0.446908586,C4
chr5,95242661,95243161,3.817432698,1.85E-05,0.397679091,C4
chr7,37375804,37376304,3.16465172,1.95E-05,0.540059237,C4
chr7,55637834,55638334,1.87411816,2.09E-05,0.354654943,C4
chr7,99229147,99229647,2.017575279,2.09E-05,0.476299562,C4
chr15,75161726,75162226,2.629103414,2.16E-05,0.354461468,C4
chr10,22922947,22923447,2.114299439,2.25E-05,0.34604174,C4
chr12,133395092,133395592,2.48265692,2.30E-05,0.323600925,C4
chr9,137283661,137284161,1.328473141,2.30E-05,0.668186335,C4
chr16,89198100,89198600,5.828126422,2.30E-05,0.280923044,C4
chr8,95972237,95972737,2.577813308,2.31E-05,0.375838994,C4
chr2,61670609,61671109,3.861269755,2.38E-05,0.302428657,C4
chr11,35736508,35737008,5.405672556,2.40E-05,0.383866307,C4
chr11,36334521,36335021,5.338344352,2.40E-05,0.252118336,C4
chr10,125617392,125617892,3.983094835,2.49E-05,0.284350472,C4
chr6,16956603,16957103,1.580077987,2.49E-05,0.428599452,C4
chr5,54013671,54014171,2.389012622,2.51E-05,0.294919708,C4
chr18,72657731,72658231,3.413975014,2.54E-05,0.341510062,C4
chr15,66185375,66185875,7.125171162,2.66E-05,0.280569942,C4
chr21,26548855,26549355,7.462927824,2.66E-05,0.355115451,C4
chr11,122588029,122588529,2.305913735,2.70E-05,0.45937688,C4
chr21,35320586,35321086,1.249719888,2.74E-05,0.793836787,C4
chr5,159886070,159886570,3.37672714,2.76E-05,0.275635045,C4
chr7,126341051,126341551,3.131119111,2.76E-05,0.523823336,C4
chr9,130187508,130188008,3.310807635,2.76E-05,0.248761045,C4
chr6,106068621,106069121,1.904910447,2.78E-05,0.514434712,C4
chr12,133656572,133657072,1.044173344,2.79E-05,0.729154767,C4
chr5,66124322,66124822,1.891979314,3.04E-05,0.492377878,C4
chr11,10921238,10921738,4.08613527,3.07E-05,0.344862441,C4
chr16,68790722,68791222,3.471618966,3.15E-05,0.232939666,C4
chr10,121464775,121465275,3.078367437,3.22E-05,0.289784964,C4
chr10,98431026,98431526,1.383441128,3.25E-05,0.56685775,C4
chr6,16956059,16956559,2.931416754,3.27E-05,0.291446127,C4
chr20,20196635,20197135,1.752054767,3.59E-05,0.338523268,C4
chr5,180336583,180337083,5.745788751,3.59E-05,0.199072428,C4
chr16,12629196,12629696,5.89101904,3.61E-05,0.289018483,C4
chr17,81039511,81040011,1.946277172,3.61E-05,0.5767148,C4
chr2,208030712,208031212,1.101450164,3.66E-05,0.555837729,C4
chr2,201331546,201332046,1.316907979,3.78E-05,0.45172004,C4
chr12,118406580,118407080,3.593863121,3.81E-05,0.321579728,C4
chr3,98283222,98283722,1.803966248,3.81E-05,0.614433863,C4
chr9,130200059,130200559,2.101788868,3.81E-05,0.37467396,C4
chr2,172174228,172174728,2.152484441,3.88E-05,0.279243871,C4
chr22,44851386,44851886,1.085668335,3.88E-05,0.611862175,C4
chr1,183167620,183168120,3.512725423,3.93E-05,0.200894112,C4
chr3,58097253,58097753,2.964473418,4.05E-05,0.269740297,C4
chr12,102329358,102329858,6.492823942,4.07E-05,0.180284585,C4
chr15,69956838,69957338,6.554339256,4.07E-05,0.188226192,C4
chr3,178210171,178210671,7.216033984,4.07E-05,0.298940526,C4
chr9,132334896,132335396,3.560945249,4.07E-05,0.310665493,C4
chr1,200122353,200122853,2.075313445,4.25E-05,0.442624611,C4
chr6,141785558,141786058,3.44606724,4.25E-05,0.280865248,C4
chr15,69971879,69972379,1.585814552,4.42E-05,0.327804819,C4
chr4,2747811,2748311,1.39569047,4.61E-05,0.902472471,C4
chr10,99924225,99924725,2.904965269,4.83E-05,0.293956803,C4
chr3,13152075,13152575,3.675958696,4.86E-05,0.319249267,C4
chr2,207988057,207988557,3.303944553,5.07E-05,0.302720245,C4
chr5,158883705,158884205,2.496948232,5.10E-05,0.385971432,C4
chr1,200452572,200453072,1.963282844,5.46E-05,0.440029889,C4
chr1,8555930,8556430,1.478203291,5.53E-05,0.382575619,C4
chr9,99637844,99638344,2.47285484,5.53E-05,0.224678314,C4
chr3,58246017,58246517,1.941496872,5.59E-05,0.330459392,C4
chr1,235994334,235994834,5.047478555,5.72E-05,0.266335041,C4
chr2,136814561,136815061,2.401913274,5.75E-05,0.324862915,C4
chr21,35501289,35501789,1.965391269,6.01E-05,0.371603691,C4
chr16,68786379,68786879,1.609871136,6.02E-05,0.662872705,C4
chr1,200443697,200444197,1.620142445,6.25E-05,0.298345564,C4
chr19,14481276,14481776,1.543688564,6.36E-05,0.411763415,C4
chr14,39917748,39918248,7.108935817,6.44E-05,0.277407599,C4
chr18,72749516,72750016,6.031261221,6.44E-05,0.130368272,C4
chr12,18318444,18318944,2.008570739,6.52E-05,0.414253688,C4
chr13,30509664,30510164,1.111407711,6.59E-05,0.660928515,C4
chr22,47000077,47000577,1.951852075,6.59E-05,0.41116337,C4
chr12,68767951,68768451,1.309920383,6.61E-05,0.806626958,C4
chr7,105926521,105927021,2.0120761,6.64E-05,0.449521406,C4
chr1,206963758,206964258,5.437116133,6.64E-05,0.280715232,C4
chr10,12164612,12165112,1.703432654,6.64E-05,0.352933963,C4
chr14,81425788,81426288,1.385995287,6.64E-05,0.480183055,C4
chr19,6522177,6522677,1.081174346,6.64E-05,0.545527205,C4
chr22,39476351,39476851,1.641090256,6.64E-05,0.388855279,C4
chr16,68790131,68790631,1.912493547,6.81E-05,0.491528597,C4
chr12,83079417,83079917,1.15693611,7.03E-05,0.390979974,C4
chr2,239198632,239199132,1.087639493,7.07E-05,0.295277103,C4
chr6,189302,189802,3.074253574,7.31E-05,0.302633365,C4
chr18,57620810,57621310,1.678649003,7.34E-05,0.326171662,C4
chr12,92571921,92572421,3.389504115,7.85E-05,0.222922587,C4
chr14,102286468,102286968,1.555454546,7.86E-05,0.314384748,C4
chr2,236389216,236389716,4.06058467,8.32E-05,0.293513183,C4
chr6,155545067,155545567,1.373914935,8.36E-05,0.700040272,C4
chr12,94673580,94674080,3.974308099,8.62E-05,0.342067923,C4
chr15,96408522,96409022,3.848105905,8.66E-05,0.254050346,C4
chr12,63044758,63045258,5.742281959,8.84E-05,0.328754105,C4
chr1,116658591,116659091,3.214516831,9.12E-05,0.255684142,C4
chr4,77507107,77507607,4.969241789,9.12E-05,0.271180805,C4
chr1,28526307,28526807,1.567512529,9.17E-05,0.550384327,C4
chr1,184130384,184130884,4.147384832,9.25E-05,0.229780588,C4
chr8,103109924,103110424,1.299759801,9.30E-05,0.684226021,C4
chr11,109969236,109969736,3.87153395,9.36E-05,0.312483688,C4
chr2,145206207,145206707,3.672016135,9.87E-05,0.2567706,C4
chr18,60926119,60926619,3.448702494,0.000100331,0.391304952,C4
chr13,39802283,39802783,6.879000182,0.000100789,0.236239718,C4
chr1,44047272,44047772,3.463045572,0.000102341,0.228611415,C4
chr10,22923838,22924338,1.99073168,0.000102479,0.529549465,C4
chr4,74881768,74882268,2.990396623,0.000106013,0.242537144,C4
chr2,97203485,97203985,1.61658629,0.000107272,0.36986447,C4
chr20,35818709,35819209,3.124555032,0.000107272,0.389932535,C4
chr12,118312661,118313161,4.506528486,0.000111405,0.282727768,C4
chr2,204858192,204858692,1.57195475,0.000111405,0.38490039,C4
chr17,59883452,59883952,2.701366247,0.000116371,0.303617012,C4
chr18,13453556,13454056,2.700997888,0.000116371,0.355723616,C4
chr16,87989774,87990274,1.158326416,0.000117531,0.361574984,C4
chr7,55637311,55637811,1.427476211,0.00011772,0.372698231,C4
chr5,156771425,156771925,2.351141172,0.00011832,0.426477991,C4
chr12,131575771,131576271,3.78462977,0.000119295,0.196071651,C4
chr16,57643482,57643982,1.044717102,0.000121174,0.822278083,C4
chr10,112372975,112373475,2.069214362,0.000126194,0.246191895,C4
chr6,215530,216030,1.242465893,0.000131055,0.659537924,C4
chr16,50742589,50743089,3.899527041,0.000133691,0.228330191,C4
chr16,88012928,88013428,3.955305813,0.000133838,0.216733719,C4
chr2,96829430,96829930,1.584306218,0.000143875,0.575169727,C4
chr1,10585266,10585766,1.395246943,0.000145363,0.626569864,C4
chr11,128421541,128422041,1.23320954,0.000145616,0.554955603,C4
chr20,50236297,50236797,3.990531648,0.000146784,0.291715644,C4
chr7,2759605,2760105,2.822267841,0.000152987,0.3030546,C4
chr12,104074531,104075031,6.946579991,0.000157032,0.247666195,C4
chr16,50754919,50755419,7.047196357,0.000157032,0.265701703,C4
chr17,10154503,10155003,6.362072488,0.000157032,0.164488539,C4
chr18,47915301,47915801,7.374123317,0.000157032,0.333794784,C4
chr2,179901876,179902376,6.625500122,0.000157032,0.197845576,C4
chr4,74882877,74883377,6.428329088,0.000157032,0.172314057,C4
chr6,151134973,151135473,6.595858145,0.000157032,0.193780899,C4
chr8,37002347,37002847,6.731205991,0.000157032,0.213039829,C4
chr1,181013505,181014005,3.208921859,0.000157354,0.369493063,C4
chr11,116824196,116824696,3.512639339,0.000158537,0.407322276,C4
chr8,24244993,24245493,3.075362338,0.000159716,0.307157961,C4
chr8,11718240,11718740,3.160289564,0.000159754,0.281327763,C4
chr10,106092938,106093438,1.833143409,0.000161955,0.517061852,C4
chr1,89459628,89460128,3.451072906,0.000164165,0.271127934,C4
chr22,45460423,45460923,2.283192362,0.000164165,0.280673355,C4
chr1,200087908,200088408,2.810637769,0.000167741,0.387735311,C4
chr7,16659628,16660128,2.615549705,0.000172511,0.323172424,C4
chr8,29330264,29330764,1.665752814,0.000173283,0.189450818,C4
chr11,129509155,129509655,2.436488252,0.000175105,0.316373321,C4
chr3,194850294,194850794,2.601214709,0.000177564,0.268193989,C4
chr6,106091806,106092306,1.505183763,0.00018557,0.269387356,C4
chr6,135858813,135859313,1.484225037,0.000188332,0.480739287,C4
chr5,93330646,93331146,2.234938517,0.000189358,0.375278527,C4
chr16,78828310,78828810,1.721242915,0.000194792,0.254037656,C4
chr16,10360574,10361074,2.177923848,0.000197256,0.305880701,C4
chr6,12051988,12052488,2.744208748,0.000198911,0.409747976,C4
chr8,133932890,133933390,1.988598481,0.000200254,0.35322826,C4
chr16,71899017,71899517,2.186492659,0.000205708,0.269852851,C4
chr11,15778833,15779333,5.95588286,0.000211695,0.215514635,C4
chr4,78550985,78551485,5.942883246,0.000211695,0.228767485,C4
chr3,99224706,99225206,5.072293774,0.000222528,0.305269556,C4
chr1,53760081,53760581,2.455205215,0.000227357,0.440935586,C4
chr13,30731320,30731820,1.851157897,0.000227454,0.428119175,C4
chr8,1708082,1708582,1.71891293,0.000227454,0.511373359,C4
chr6,2220334,2220834,2.983380142,0.000233256,0.21042004,C4
chr19,35845695,35846195,3.404321317,0.000244309,0.354372277,C4
chr10,94027093,94027593,6.609914444,0.000247407,0.195697969,C4
chr11,69484251,69484751,6.803343936,0.000247407,0.224066902,C4
chr22,48090924,48091424,6.252010647,0.000247407,0.152257896,C4
chr6,12047540,12048040,6.418032864,0.000247407,0.171074269,C4
chr1,10574152,10574652,3.070152748,0.000261478,0.376869494,C4
chr11,64683703,64684203,2.224732173,0.000264437,0.275517217,C4
chr8,126231423,126231923,2.53562398,0.000270803,0.251115219,C4
chr6,27804738,27805238,1.163957048,0.000273076,0.51782682,C4
chr4,122617906,122618406,1.533234406,0.000291616,0.371704762,C4
chr19,19121335,19121835,3.565233229,0.000291731,0.28595969,C4
chr7,116217054,116217554,3.573074688,0.000293779,0.193294713,C4
chr11,6222723,6223223,1.774118299,0.000304936,0.274616839,C4
chr1,150690622,150691122,4.195082385,0.000325064,0.262262315,C4
chr6,14875736,14876236,4.06952985,0.000325064,0.275236665,C4
chr11,109963093,109963593,1.882030804,0.000328007,0.200379017,C4
chr8,134479923,134480423,2.726521031,0.000328007,0.440303137,C4
chr16,72047061,72047561,2.301906777,0.00033787,0.398743529,C4
chr14,76028363,76028863,1.97289554,0.000338896,0.325549844,C4
chr2,38881425,38881925,5.252420459,0.000343949,0.185122838,C4
chr6,16763273,16763773,1.775999961,0.0003463,0.497349472,C4
chr1,227926930,227927430,5.399691251,0.000349385,0.234425088,C4
chr11,109963635,109964135,1.618698536,0.000351078,0.251267061,C4
chr7,151493897,151494397,2.386764621,0.000354215,0.196075385,C4
chr13,39818556,39819056,4.519668649,0.000354962,0.242352566,C4
