Gene Name,correlation.E-score,pvalue.E-score,adjpvalue.E-score,MME Biomarkers(Reference),Gene Name,correlation.S-score,pvalue.S-score,adjpvalue.S-score,MMS biomarkers(Reference)
AIMP1,0.399359712,0.001185284,0.008917836,,ACVRL1,0.461068829,0.000142991,0.00170592,
GPRC5C,0.398985545,0.001199159,0.009008742,,PLEKHG4B,0.460769204,0.000144612,0.001721169,
MIR600HG,0.39886011,0.001203842,0.009034273,,ADM2,0.460695678,0.000145012,0.001725116,
NPY1R,0.398848412,0.00120428,0.009034273,,MSN,0.460618436,0.000145434,0.001729313,
OR7E14P,0.398813054,0.001205604,0.009038492,,ITGA2,0.46051994,0.000145973,0.001734328,
DEPDC4,0.398801242,0.001206046,0.009038523,,NRP1,0.460516197,0.000145993,0.001734328,
LOC100505957,0.398792898,0.001206359,0.009038523,,GNB3,0.460437807,0.000146424,0.00173709,
LSR,0.398709477,0.001209489,0.009053878,,STARD3,0.460380249,0.000146741,0.001739097,
CKMT1A,0.398693253,0.001210099,0.009055745,,FBXL6,0.460330498,0.000147015,0.001741527,
LOC100616530,0.398216245,0.001228145,0.009166681,,AFAP1L2,0.460275267,0.00014732,0.00174432,
DCUN1D3,0.398214683,0.001228205,0.009166681,,ZRANB1,0.46020619,0.000147703,0.001745543,
LOC100507562,0.397991297,0.001236739,0.009216697,,DPYSL3,0.460193915,0.000147771,0.001745543,
MT1P3,0.39795216,0.00123824,0.009222413,,SFXN1,0.460067972,0.000148471,0.001752987,
C12orf66,0.397880612,0.001240988,0.0092383,,PFKFB4,0.460003715,0.000148829,0.001756393,
MIR548E,0.397877483,0.001241108,0.0092383,,LSM2,0.459770585,0.000150136,0.001770981,
LOC100286922,0.397454626,0.001257462,0.009343432,,FAM26F,0.45971193,0.000150466,0.00177317,
AHSA2,0.39743765,0.001258123,0.009344792,,ZMIZ1,0.459643704,0.000150851,0.001776087,
SPTY2D1-AS1,0.397408144,0.001259272,0.009347611,,TMPPE,0.459297759,0.000152818,0.001795879,
OR51B5,0.397306366,0.001263242,0.009372525,,XPO6,0.45924019,0.000153148,0.001798071,
SLC7A8,0.397266511,0.0012648,0.009374987,,HMGCR,0.459161944,0.000153597,0.00180082,
ATP1B1,0.397259712,0.001265066,0.009374987,,PTBP1,0.459022847,0.000154398,0.001808525,
TMCO1,0.397232372,0.001266136,0.00938015,,ACTG2,0.458942183,0.000154864,0.001813143,
SNORD116-8,0.397119306,0.001270568,0.009407446,,FAP,0.458785717,0.000155772,0.00182208,
COX1,0.397018102,0.001274548,0.00942858,,BRWD3,0.458415197,0.000157943,0.001846608,
SNORD116-2,0.396878446,0.001280058,0.009466556,,LOC100268168,0.458321453,0.000158496,0.001852218,
NCOA7,0.396827097,0.00128209,0.00947132,,NPPB,0.458244696,0.000158951,0.001856667,
DPY19L2P3,0.39667203,0.001288242,0.009504706,,LBR,0.458212504,0.000159142,0.001858034,
LOC100505908,0.39662888,0.001289958,0.009514578,,FAM132B,0.458116297,0.000159714,0.001863709,
LOC100505775,0.39652463,0.001294114,0.009539633,,ULBP1,0.458083869,0.000159907,0.001864371,
SNORA68,0.39639115,0.001299453,0.009570568,,ZFPL1,0.458052851,0.000160092,0.001865663,
LOC143666,0.396239893,0.001305527,0.009612485,,NCOA3,0.458035973,0.000160193,0.001865972,
LPCAT3,0.396210137,0.001306724,0.009618487,,PPP2R4,0.457901775,0.000160996,0.00187446,
CAST,0.396101269,0.001311115,0.009642337,,DMWD,0.457688456,0.000162281,0.00188854,
MRPS21,0.395923339,0.00131832,0.009686823,,C20orf43,0.457284642,0.000164738,0.001914478,
ZNF277,0.395811048,0.001322886,0.009717528,,LIN37,0.457086399,0.000165957,0.001927751,
RRN3P3,0.395576137,0.001332483,0.00977945,,ERCC1,0.456992126,0.000166539,0.001933623,
DDX6,0.3953501,0.001341776,0.009836168,,NOM1,0.456854566,0.000167392,0.001942633,
OFD1,0.395311967,0.001343349,0.009839095,,SPATS2,0.456744228,0.00016808,0.00194971,
ASPHD1,0.395252621,0.001345802,0.009848447,,TCN2,0.456704787,0.000168326,0.001951667,
SNORD116-3,0.395207485,0.001347669,0.009856376,,SLMO2,0.456549369,0.0001693,0.001962053,
LOC400940,0.395074579,0.001353183,0.009890942,,CSK,0.45651407,0.000169522,0.001963719,
ACAP3,0.395027045,0.001355159,0.009902511,,MIR3925,0.456487283,0.00016969,0.001964767,
FLRT2,0.394947993,0.001358452,0.009921214,,COL27A1,0.456287463,0.000170953,0.001977561,
CERS2,0.394946656,0.001358508,0.009921214,,UBR7,0.456107837,0.000172095,0.001989321,
ZNF692,0.394916814,0.001359753,0.009927422,,RANBP3,0.455929584,0.000173235,0.0020012,
AGRN,0.394843876,0.001362801,0.009943075,,CTDP1,0.455794716,0.000174103,0.002009757,
OR7D4,0.394823317,0.001363661,0.009944398,,ATP6AP1,0.455756876,0.000174347,0.002011267,
LOC100507127,0.394732598,0.001367462,0.009969225,,FBXO46,0.455726898,0.00017454,0.002012576,
CREG2,0.394693276,0.001369112,0.009972561,,KISS1,0.455588567,0.000175436,0.002021978,
CRB2,0.394679943,0.001369672,0.009972561,,EYA4,0.45555209,0.000175673,0.002023781,
CYP11A1,0.394401699,0.001381407,0.010047579,,AP3M2,0.455366941,0.00017688,0.002033958,
RNF39,0.394355012,0.001383385,0.010050343,,ARIH2,0.455193396,0.000178018,0.002045177,
METTL21A,0.394353372,0.001383455,0.010050343,,GSDMC,0.455094796,0.000178668,0.002050493,
WDR60,0.394338586,0.001384082,0.010050343,,SOGA1,0.455086056,0.000178726,0.002050493,
OAZ2,0.394290299,0.001386131,0.010057082,,KIAA0101,0.454999093,0.000179301,0.002055214,
DKFZp686L13185,0.393996763,0.001398647,0.010129007,,TWIST1,0.454935645,0.000179721,0.002059096,
D2HGDH,0.393975769,0.001399546,0.010132599,,NRIP1,0.45487178,0.000180146,0.002062627,
GLS2,0.393524459,0.001418999,0.010243931,,ANKRD27,0.454864567,0.000180194,0.002062627,
NCOA2,0.393377356,0.001425391,0.010284175,,FAM96B,0.454851636,0.00018028,0.002062672,
KRTAP10-2,0.393276584,0.001429786,0.010307005,,KIF26B,0.454754651,0.000180926,0.002069128,
KRCC1,0.393069224,0.001438866,0.010354648,,ARFGAP3,0.454737286,0.000181042,0.002069512,
GCSH,0.392866148,0.00144781,0.010410066,,FNDC1,0.454702617,0.000181274,0.002071208,
MTMR12,0.392844096,0.001448784,0.010414092,,C7orf60,0.454690459,0.000181355,0.002071208,
CACHD1,0.392792241,0.001451077,0.010427013,,DSN1,0.454651845,0.000181614,0.002073219,
MIR622,0.392669076,0.001456536,0.010457855,,PITX2,0.454548897,0.000182305,0.002080162,
IMMP2L,0.392524651,0.001462961,0.010500989,,MAK16,0.4545039,0.000182608,0.002082671,
TIGD4,0.392498441,0.00146413,0.010503379,,SLC22A14,0.454407332,0.000183259,0.002089152,
ZNF890P,0.392465045,0.001465621,0.010511071,,KIAA1033,0.454296793,0.000184007,0.00209583,
ZDHHC4,0.392292058,0.001473363,0.01056057,,DOCK7,0.454289592,0.000184056,0.00209583,
P2RX6P,0.392253963,0.001475073,0.010569811,,FAM190B,0.454283857,0.000184095,0.00209583,
GPR115,0.392235618,0.001475897,0.010572702,,LOC100130876,0.454194666,0.000184701,0.002100826,
C2orf43,0.392208266,0.001477126,0.010578495,,PRPF4,0.454120991,0.000185203,0.002105583,
SNORD46,0.392198047,0.001477586,0.010578772,,GTF3C5,0.454094076,0.000185387,0.002106719,
ZNF285,0.392105727,0.001481743,0.01059948,,DBN1,0.453961635,0.000186293,0.002116061,
LOC554223,0.391976717,0.00148757,0.010626047,,HIST1H2AK,0.453860105,0.00018699,0.002122066,
SMAD5-AS1,0.391909136,0.001490631,0.010635821,,PHF23,0.453836254,0.000187155,0.002122971,
LYRM1,0.391824031,0.001494494,0.010657331,,IGFBP7,0.453737053,0.000187839,0.002126895,
CA1,0.391774064,0.001496766,0.010670505,,ZNF85,0.453706854,0.000188048,0.002128301,
LOC202781,0.39172094,0.001499185,0.010681691,,GRAMD1A,0.453437743,0.000189918,0.002147532,
ZNF33A,0.391621412,0.001503726,0.010704945,,ECE2,0.453265714,0.000191122,0.002158238,
DNAH10OS,0.391608092,0.001504335,0.010706247,,TGM2,0.453073833,0.000192474,0.002172524,
CCNG1,0.391587642,0.00150527,0.010706838,,BDNF,0.453040201,0.000192712,0.00217421,
BAHCC1,0.391456095,0.001511297,0.010743626,,NEK2,0.453017415,0.000192873,0.00217421,
CASC4,0.391235106,0.00152147,0.010803727,,C16orf57,0.453016034,0.000192883,0.00217421,
SHMT1,0.39112127,0.001526735,0.010835531,,PSMC4,0.452893591,0.000193751,0.002183024,
PCBP3,0.391094746,0.001527964,0.010840649,,SV2A,0.452813539,0.000194321,0.002186538,
RORC,0.391075501,0.001528856,0.010843919,,LSM1,0.452813125,0.000194324,0.002186538,
IL17RC,0.390775381,0.001542831,0.010930706,,PMPCA,0.4527588,0.000194712,0.002189919,
NIPAL2,0.390362225,0.001562258,0.01104344,,GPR161,0.452681762,0.000195263,0.002195133,
FYCO1,0.390282803,0.001566017,0.011063793,,NT5C3L,0.452640265,0.00019556,0.002197416,
HOXB4,0.390133235,0.001573119,0.011098701,,C20orf4,0.452624788,0.000195671,0.002197416,
NUMA1,0.389984498,0.00158021,0.011129658,,SLC38A5,0.452570987,0.000196057,0.002200131,
ND4,0.389919784,0.001583305,0.011145205,,PACS1,0.452507099,0.000196517,0.002204305,
FAM86C2P,0.389781007,0.001589958,0.011186679,,C12orf4,0.452372214,0.000197491,0.002214239,
FAM117A,0.389717774,0.001592999,0.0112018,,DTYMK,0.452348981,0.000197659,0.002214676,
FLJ27352,0.389679066,0.001594862,0.011210864,,CSE1L,0.452342485,0.000197706,0.002214676,
SLC26A4-AS1,0.389530555,0.00160203,0.011242388,,ZBED4,0.452169323,0.000198964,0.002227205,
LOC100132984,0.389500606,0.001603479,0.011246278,,SAAL1,0.45216411,0.000199002,0.002227205,
PMS2P4,0.389331005,0.001611707,0.011291385,,NOC4L,0.452136566,0.000199202,0.00222846,
GDPGP1,0.38929373,0.001613521,0.011297792,,SESN2,0.452112648,0.000199377,0.00222942,
LOC145216,0.389139114,0.001621063,0.011337966,,PBX3,0.452091895,0.000199528,0.002230122,
MAPK15,0.389066529,0.001624614,0.011359644,,WDR46,0.452065793,0.000199719,0.002231262,
STK32B,0.388860236,0.001634745,0.011408271,,YKT6,0.451888303,0.00020102,0.002243805,
ADAMTS19,0.388823799,0.001636541,0.011417631,,TNS1,0.451809183,0.000201603,0.002249309,
LOC100507376,0.38859303,0.001647953,0.011481315,,TRABD2A,0.451461157,0.000204184,0.002277095,
HOXB3,0.388451997,0.001654962,0.011520571,,CTNNBL1,0.451162335,0.000206424,0.002300037,
CREBRF,0.388383369,0.001658383,0.011534799,,HIST1H2BJ,0.451138523,0.000206604,0.002301017,
SNORD89,0.388353116,0.001659892,0.011542107,,C10orf55,0.451029275,0.000207429,0.002309185,
SNORD116-6,0.388198213,0.001667643,0.011589586,,EML4,0.450944717,0.00020807,0.002315294,
POLR2L,0.388172435,0.001668936,0.011595271,,TSC22D2,0.450900756,0.000208404,0.002316958,
LOC100131089,0.388163512,0.001669383,0.011595271,,DRAP1,0.450788163,0.000209261,0.002325461,
IL17RE,0.38805227,0.001674974,0.011630892,,WDR67,0.450527506,0.000211258,0.002346619,
LOC100507584,0.387949345,0.001680162,0.011660474,,CAMKK1,0.450348902,0.000212637,0.002359846,
LOC100126447,0.387929851,0.001681146,0.011663079,,CMIP,0.450327208,0.000212805,0.002360129,
DOCK4,0.387921851,0.00168155,0.011663079,,HIPK1,0.450319826,0.000212862,0.002360129,
EVPL,0.387617629,0.00169698,0.011754477,,MIR634,0.450256351,0.000213354,0.002363636,
B3GALNT1,0.387523364,0.001701787,0.011778036,,IL4I1,0.450130415,0.000214334,0.002373447,
RAB5B,0.387493138,0.001703331,0.011785476,,AIM2,0.450102271,0.000214554,0.002374832,
HEXIM2,0.387465317,0.001704753,0.011788826,,LOC100131262,0.450086485,0.000214677,0.00237515,
POGLUT1,0.387412245,0.001707469,0.01180436,,HMGN1,0.449978395,0.000215523,0.002383458,
SNORD116-1,0.386969648,0.00173027,0.011916435,,LOC100499467,0.449903126,0.000216114,0.002384744,
C22orf46,0.386961791,0.001730677,0.011916435,,IL12RB1,0.44988279,0.000216273,0.002385461,
GET4,0.386795243,0.001739329,0.011965385,,MYH10,0.449693654,0.000217765,0.002400862,
CA11,0.386717476,0.001743382,0.011986971,,ADAM9,0.4496625,0.000218012,0.002402527,
LOC100288911,0.386589893,0.00175005,0.012029263,,LIG1,0.449645683,0.000218145,0.002402942,
ZNF720,0.386403115,0.001759853,0.01208673,,PRKX,0.44944104,0.000219772,0.002417689,
SNORA37,0.386312394,0.001764632,0.012109628,,SLC35E4,0.44941182,0.000220006,0.002419197,
CDH1,0.386176365,0.00177182,0.012152318,,ZNF280C,0.449384907,0.000220221,0.002420502,
CCNYL1,0.385960176,0.001783298,0.012221035,,ATAD5,0.449337758,0.000220598,0.00242253,
CXCL6,0.385809613,0.001791331,0.012263068,,M6PR,0.44926193,0.000221206,0.00242813,
LOC650293,0.385801912,0.001791742,0.012263068,,CCDC9,0.449072288,0.000222733,0.002441708,
BBS12,0.385441821,0.001811089,0.012377746,,HS6ST1,0.448885554,0.000224246,0.002456632,
TMEM176A,0.385394837,0.001813627,0.012384991,,NUAK2,0.448871735,0.000224358,0.002456632,
OR51I1,0.38524732,0.001821617,0.012432796,,RNF19B,0.448868141,0.000224387,0.002456632,
SRGAP2,0.385070685,0.001831225,0.012494257,,PAG1,0.448553157,0.000226962,0.002482661,
CPEB1,0.384954,0.001837597,0.012524861,,ENG,0.448362659,0.000228533,0.002497665,
MIR371B,0.384814292,0.001845253,0.012570223,,SNPH,0.448350035,0.000228637,0.00249772,
C5orf63,0.384752342,0.001848657,0.012589998,,PCNA,0.448225042,0.000229673,0.002505773,
CAMSAP3,0.384726839,0.00185006,0.012592728,,RASA2,0.44820152,0.000229869,0.002506818,
C19orf33,0.384702644,0.001851391,0.012594973,,TUBA1A,0.448186749,0.000229992,0.00250707,
WDR45,0.384657924,0.001853855,0.012606167,,POLE,0.448031353,0.000231288,0.002520103,
MIR4664,0.384654573,0.00185404,0.012606167,,ESAM,0.447992506,0.000231613,0.002522532,
SNORA36B,0.384546295,0.001860018,0.01263761,,MCM5,0.447877284,0.000232579,0.002530884,
MTUS2-AS2,0.384433503,0.001866264,0.012675568,,SLC25A1,0.447841531,0.00023288,0.002533058,
SPAG17,0.384137,0.001882772,0.012767651,,ZNF367,0.44765832,0.000234426,0.002547671,
DNAJC27-AS1,0.38413527,0.001882869,0.012767651,,MICALL2,0.44762223,0.000234732,0.002548789,
ARHGEF37,0.383900455,0.001896036,0.01284654,,CDK6,0.447255059,0.000237862,0.002576105,
INTS3,0.383839836,0.001899449,0.012866194,,PSD3,0.447239654,0.000237994,0.002576427,
RABL2A,0.383772999,0.001903218,0.012884779,,DYNC1H1,0.447193582,0.00023839,0.002579599,
WDPCP,0.383434172,0.001922428,0.012990339,,TAF5L,0.447054727,0.000239586,0.002591428,
ERMP1,0.38281672,0.001957881,0.013197975,,CDH10,0.446983047,0.000240206,0.002597014,
MLXIPL,0.382804027,0.001958616,0.01319939,,NOTCH3,0.446899781,0.000240928,0.002602577,
RMRP,0.382695223,0.001964926,0.013238363,,MAMLD1,0.446837327,0.00024147,0.002607318,Bueno2016(Sup.Table 2-Top50)
MDFIC,0.382640675,0.001968096,0.013256169,,LOC646626,0.446810673,0.000241702,0.002608702,
MIR548C,0.382608007,0.001969997,0.013261865,,AUP1,0.446774245,0.000242019,0.002611005,
LOC645949,0.382307576,0.001987554,0.01336932,,COL6A1,0.446516857,0.000244272,0.002633048,
ZNF311,0.382043774,0.002003087,0.013441427,,SNAPC2,0.446496756,0.000244449,0.002633823,
ND5,0.381980766,0.002006812,0.013462835,,QSOX2,0.446375091,0.000245521,0.002642187,
ENPP4,0.381844426,0.002014896,0.013501822,,SIGLEC8,0.446366019,0.000245601,0.002642187,
HCFC1R1,0.381831118,0.002015686,0.013501822,,FEN1,0.446349821,0.000245744,0.002642187,
LRRC55,0.381807239,0.002017106,0.013506099,,EIF4EBP1,0.446342496,0.000245809,0.002642187,
TMEM238,0.381689274,0.00202413,0.013539265,,RRBP1,0.446337206,0.000245856,0.002642187,
RN5S421,0.381506323,0.002035068,0.013597951,,CHPT1,0.446259103,0.000246547,0.002648485,
ATN1,0.381408267,0.002040951,0.013626399,,RECK,0.446147032,0.000247542,0.002658041,
ZNF252P-AS1,0.38138332,0.002042451,0.013629889,,FAM169A,0.446101756,0.000247945,0.002661232,
MIR4458,0.38137251,0.002043101,0.013629889,,UBE2E1,0.445987346,0.000248967,0.002671054,
MIR570,0.381352275,0.002044318,0.013634391,,RNPS1,0.445906618,0.00024969,0.002677667,
SNORD116-14,0.381131506,0.002057641,0.013711071,,PATL1,0.44576681,0.000250946,0.002688848,
ND6,0.381125616,0.002057997,0.013711071,,ARCN1,0.4456655,0.00025186,0.002697494,
MBD5,0.381115623,0.002058602,0.013711467,,MSR1,0.445614176,0.000252325,0.002700165,
TMEM78,0.381044658,0.002062903,0.013732835,,PLSCR3,0.445530325,0.000253085,0.002706898,
TOP1P1,0.380995825,0.002065867,0.013745287,,DOPEY2,0.445521043,0.000253169,0.002706898,
BEX4,0.380604486,0.002089759,0.013878537,,LFNG,0.445385411,0.000254404,0.00271663,
DNAJC16,0.380188609,0.002115419,0.014014168,,STK39,0.445168474,0.00025639,0.002732034,
KIAA1107,0.380033209,0.00212508,0.014061102,,BOLA3,0.445138839,0.000256662,0.002733777,
GOLGA6L9,0.379812258,0.002138883,0.014128372,,C9orf47,0.44499874,0.000257953,0.00274295,
LRRN2,0.379798542,0.002139743,0.014128372,,SIM2,0.444813402,0.000259671,0.002759976,
CST6,0.379787997,0.002140404,0.014129025,,CTU1,0.444673588,0.000260973,0.002772647,
UFL1-AS1,0.379678315,0.00214729,0.014159608,,SASS6,0.444627447,0.000261404,0.002776055,
COX14,0.379601525,0.002152123,0.014187756,,ZNF354A,0.44445334,0.000263037,0.002792214,
MYCL1,0.379570009,0.002154109,0.014197127,,LOC100507506,0.444302662,0.000264458,0.002804925,
ZNRF2P1,0.379556087,0.002154987,0.014199191,,NPC1,0.444146915,0.000265933,0.002818198,
MSH3,0.379537694,0.002156148,0.014203114,,PTPRB,0.444084556,0.000266526,0.002823292,
ARSD-AS1,0.379495517,0.002158811,0.014215645,,NAG20,0.443938628,0.000267919,0.002835651,
PDXK,0.379452727,0.002161516,0.014223564,,FZR1,0.443797234,0.000269274,0.002847598,
YPEL3,0.379183066,0.002178631,0.014309967,,SGOL1-AS1,0.443424263,0.000272879,0.002877253,
AMY2A,0.379107443,0.002183452,0.014337889,,NREP,0.443264201,0.00027444,0.002892496,
FAM54B,0.378914886,0.002195772,0.014386232,,LOC440944,0.443170784,0.000275355,0.00290092,
IFITM4P,0.378895386,0.002197023,0.014389415,,WRAP53,0.442645464,0.00028055,0.002954418,
HINT2,0.378724529,0.002208012,0.014446331,,CCR8,0.442520233,0.000281802,0.002966043,
LOC100507431,0.378566115,0.002218245,0.014501956,,SPATA2,0.442511439,0.00028189,0.002966043,
TMEM41A,0.378505654,0.002222162,0.014520009,,SIRPB2,0.442424838,0.000282759,0.00297394,
GYPB,0.378245047,0.002239114,0.014623178,,NLK,0.442400857,0.000283,0.002973986,
AGXT2L2,0.37820731,0.002241578,0.01463547,,JARID2,0.442287235,0.000284145,0.002983519,
SLC10A1,0.37812349,0.002247061,0.014667455,,ZYX,0.44216437,0.000285387,0.002994063,
MUM1,0.377994716,0.002255507,0.014711125,,MLKL,0.442095768,0.000286083,0.003000111,
DEFB122,0.377861342,0.002264285,0.014737784,,CDC7,0.441990695,0.000287152,0.003008809,
MIA3,0.377827935,0.002266488,0.014748306,,CHPF2,0.441916018,0.000287914,0.003015076,
SECTM1,0.37764717,0.002278444,0.014806938,,DLX1,0.44181113,0.000288987,0.003022995,
MIR3622A,0.377551302,0.002284807,0.014840619,,ZDHHC20,0.441778509,0.000289321,0.003025235,
RN5S345,0.377035645,0.002319308,0.015023238,,PLVAP,0.441584542,0.000291317,0.003042312,
LOC440894,0.377023974,0.002320094,0.015023238,,GPR180,0.441465906,0.000292545,0.003053859,
C3orf37,0.376929606,0.00232646,0.015060579,,NAP1L1,0.441372174,0.000293517,0.003061472,
SHB,0.376798107,0.002335357,0.015103148,,KCNN3,0.441335306,0.000293901,0.003064201,
ATP6V1B1,0.376224029,0.002374553,0.015323772,,SNAPC4,0.441285359,0.000294421,0.003068352,
KIR2DL3,0.376197463,0.002376381,0.015328483,,SMG6,0.441061029,0.000296768,0.00309153,
RICTOR,0.376104889,0.002382761,0.015365692,,KIF4B,0.441032572,0.000297067,0.003093363,
RNU6-71,0.376064614,0.002385542,0.015375733,,FNIP2,0.440995948,0.000297452,0.003096091,
HCG14,0.375956327,0.002393031,0.015420054,,PRKX-AS1,0.440712024,0.000300454,0.003123197,
NEK1,0.375602651,0.00241764,0.015538795,,GNPTAB,0.440702621,0.000300554,0.003123197,
NFE2L2,0.37555827,0.002420744,0.015554768,,CSNK1G2,0.440583763,0.000301819,0.003133751,
RAB36,0.37544251,0.002428857,0.015598923,,EFTUD2,0.440528141,0.000302412,0.003138619,
MAF,0.375251232,0.002442316,0.015681352,,RAPGEF1,0.440442391,0.000303329,0.003146438,
MST1P9,0.375210175,0.002445213,0.015693436,,TMED1,0.440368081,0.000304126,0.003152506,
RN5S237,0.375206874,0.002445446,0.015693436,,HOMER3,0.440282325,0.000305049,0.003159483,
ACVR2B-AS1,0.37504855,0.002456649,0.015749247,,CD72,0.440282101,0.000305051,0.003159483,
LOC100506745,0.374861545,0.002469941,0.015826384,,CCT5,0.440156093,0.000306411,0.003172258,
CTAGE6P,0.374776742,0.002475989,0.015853017,,FAM184B,0.440062704,0.000307422,0.003179797,
SERPINB1,0.37475947,0.002477223,0.01585545,,FAM199X,0.440053801,0.000307518,0.003179797,
FUNDC2P2,0.374707117,0.002480965,0.015872747,,EPHB4,0.440027477,0.000307804,0.003181442,
RNF169,0.374674129,0.002483326,0.01587624,,CAMTA2,0.439996922,0.000308136,0.003183563,
OCIAD1,0.374546181,0.002492501,0.015930331,,SPANXD,0.439854728,0.000309685,0.00319825,
GOLGA6L10,0.374468369,0.002498095,0.015957973,,PDCD2L,0.439829202,0.000309963,0.003199815,
C16orf58,0.374388398,0.002503857,0.015978535,,EZH2,0.439772998,0.000310578,0.003204843,
MTRNR2L8,0.374346037,0.002506914,0.015989923,,PGP,0.439703004,0.000311345,0.003210293,
MXI1,0.374282109,0.002511533,0.016015322,,PCED1B,0.439701493,0.000311362,0.003210293,
LOC257396,0.374014284,0.002530967,0.016118806,,PRDM8,0.439558212,0.000312937,0.003225215,
BAD,0.373897799,0.002539462,0.016164713,,EPT1,0.439473926,0.000313867,0.003232151,
EFNB3,0.373652259,0.002557451,0.016270979,,GALNT3,0.439441771,0.000314223,0.003234488,
FBXO3,0.373632207,0.002558925,0.016276238,,NUSAP1,0.439245232,0.000316404,0.003254274,
SNORD116-29,0.373608204,0.00256069,0.016283348,,GNE,0.439217268,0.000316715,0.003256145,
KIF13A,0.373482401,0.002569961,0.016334038,,ERO1L,0.439175025,0.000317186,0.003258323,
LOC100506930,0.373323147,0.002581741,0.01640061,,MCM4,0.439044461,0.000318646,0.003270646,
LOC100507458,0.373186758,0.002591867,0.016456619,,HIST2H2BA,0.439023772,0.000318878,0.00327169,
IL20,0.37317588,0.002592676,0.0164576,,NAV3,0.438732277,0.000322162,0.003301338,
RBBP6,0.373077982,0.002599968,0.016491395,,LSM11,0.438665322,0.00032292,0.003306416,
AGGF1,0.372985406,0.002606881,0.016524551,,PSMD9,0.438524185,0.000324525,0.003320138,
RNU5E-9P,0.372875292,0.002615124,0.016562455,,MCM8,0.438413938,0.000325783,0.003328947,
FGGY,0.372785491,0.002621864,0.016596778,,BZW2,0.438353134,0.000326479,0.003334702,
HCG27,0.372673873,0.002630264,0.016645754,,UNC5C,0.438311533,0.000326956,0.003338217,
AMIGO1,0.3726446,0.00263247,0.016647146,,NKIRAS2,0.438129033,0.000329055,0.003356927,
LOC100289637,0.37256862,0.002638206,0.016679219,,PSMD6,0.438053248,0.000329931,0.003364493,
SVIP,0.372459319,0.002646476,0.01671889,,THBS2,0.43783528,0.000332461,0.003386595,
SNORD115-11,0.372081015,0.002675278,0.016883875,,WDR81,0.437786295,0.000333032,0.003390612,
SNORD115-12,0.372081015,0.002675278,0.016883875,,LOC389906,0.437599346,0.000335219,0.003409815,
OR9A4,0.372062366,0.002676706,0.016888642,,FAM189A1,0.437361509,0.000338021,0.003434451,
PFN4,0.372028889,0.002679269,0.016900573,,SNX7,0.43729557,0.000338801,0.003439601,
DGCR5,0.371845614,0.002693342,0.01698508,,CDK5RAP1,0.437229532,0.000339585,0.003444771,
BDKRB1,0.371567575,0.002714817,0.017095407,,RN5S387,0.437107701,0.000341034,0.003456685,
LOC100287042,0.371535337,0.002717316,0.017106232,,SNX6,0.436957455,0.00034283,0.003472082,
SNORD116-5,0.37137762,0.002729576,0.017173032,,KSR1,0.43685837,0.000344018,0.003482718,
LOC283481,0.371374422,0.002729825,0.017173032,,LOC100506114,0.436757495,0.000345232,0.003493602,
RGL1,0.371270327,0.002737944,0.017214531,,EIF2S2,0.436458603,0.000348853,0.003525979,
STXBP4,0.371209458,0.002742701,0.01724013,,TLE4,0.436368636,0.000349949,0.003534981,
CYP4F30P,0.371131545,0.002748802,0.017261211,,ADAMTS16,0.436362449,0.000350025,0.003534981,Bueno2016(Sup.Table 2-Top50)
SNORD116-24,0.371090027,0.002752057,0.017263936,,TGFBR3L,0.43630016,0.000350786,0.003539824,
GOLGA6L7P,0.371080881,0.002752775,0.017263936,,MIR3134,0.436213575,0.000351846,0.003549101,
NNT,0.371073472,0.002753356,0.017263936,,AZIN1,0.436111126,0.000353105,0.00355919,
KY,0.371009734,0.002758363,0.01727809,,STK10,0.436109108,0.00035313,0.00355919,
OGDHL,0.370971492,0.002761371,0.017285914,,VASH1,0.435939801,0.000355219,0.003575944,
FAM197Y9,0.370838118,0.002771885,0.017341181,,LIPA,0.435823853,0.000356656,0.003587539,
FSIP2,0.370818153,0.002773461,0.017346728,,PDGFB,0.435749279,0.000357583,0.003595426,
ACOX1,0.37080087,0.002774827,0.017349849,,PDLIM2,0.435695299,0.000358255,0.003600747,
RABGGTA,0.370774202,0.002776935,0.017355501,,UBE2Q2,0.435678447,0.000358466,0.00360142,
FAM157B,0.370736159,0.002779946,0.017369996,,ATXN7L3,0.43560402,0.000359395,0.003607115,
NANOS1,0.370621739,0.002789017,0.017418017,,GAPDH,0.435602516,0.000359414,0.003607115,
AGTRAP,0.370492127,0.002799324,0.017468707,,RBM38,0.435598601,0.000359463,0.003607115,
TM2D1,0.37013306,0.002828057,0.017609328,,C17orf81,0.435532592,0.000360289,0.003613965,
BAIAP2,0.369778491,0.002856686,0.017761203,,RBM20,0.435407207,0.000361864,0.003626865,
MYO18A,0.369512487,0.002878334,0.017864858,,FOXP4,0.435323033,0.000362925,0.003636045,
ZMYM6NB,0.369452741,0.002883216,0.017881914,,VAMP5,0.43517637,0.000364779,0.003651715,
TENC1,0.369423834,0.002885581,0.017892166,,FBXO39,0.435028319,0.00036666,0.003667625,
SNORD115-44,0.369367359,0.002890206,0.017907593,,CHAC2,0.43477073,0.000369954,0.003699099,
HEATR2,0.368967906,0.002923108,0.018080257,,C18orf25,0.434594204,0.000372227,0.003720345,
FICD,0.368866802,0.002931488,0.018114547,,PTPN1,0.434554668,0.000372738,0.003723049,
